region,district,date,Market,source,commodity,Price,market_day,Year,month,week,Type
Upper West,Wa Municipal,17-08-2025,Wa  Market ,retail,Maize Yellow,6.873333333,2025-08-17,2025,8,3,retail
Upper West,Wa Municipal,17-08-2025,Wa  Market ,retail,Rice Local perfumed,10.34666667,2025-08-17,2025,8,3,retail
Upper West,Wa Municipal,17-08-2025,Wa  Market ,retail,Rice Local non perfumed,11.15,2025-08-17,2025,8,3,retail
Upper West,Wa Municipal,17-08-2025,Wa  Market ,retail,Groundnut Red,15.17,2025-08-17,2025,8,3,retail
Upper West,Wa Municipal,17-08-2025,Wa  Market ,retail,Soya Bean,5.56,2025-08-17,2025,8,3,retail
Greater Accra,AMA-Okaikoi South,21-04-2025,AGBOGBLOSHIE MARKET,retail,white maize,11.2,2025-04-21,2025,4,3,retail
Greater Accra,AMA-Okaikoi South,21-04-2025,AGBOGBLOSHIE MARKET,retail,Maize Yellow,12.0,2025-04-21,2025,4,3,retail
Greater Accra,AMA-Okaikoi South,21-04-2025,AGBOGBLOSHIE MARKET,retail,Rice Local perfumed,19.33333333,2025-04-21,2025,4,3,retail
Greater Accra,AMA-Okaikoi South,21-04-2025,AGBOGBLOSHIE MARKET,retail,Rice Local non perfumed,14.0,2025-04-21,2025,4,3,retail
Greater Accra,AMA-Okaikoi South,21-04-2025,Makola Market,retail,white maize,12.0,2025-04-21,2025,4,3,retail
Greater Accra,AMA-Okaikoi South,21-04-2025,Makola Market,retail,Maize Yellow,13.33333333,2025-04-21,2025,4,3,retail
Greater Accra,AMA-Okaikoi South,21-04-2025,Makola Market,retail,Rice Local perfumed,20.0,2025-04-21,2025,4,3,retail
Greater Accra,AMA-Okaikoi South,21-04-2025,Makola Market,retail,Rice Local non perfumed,14.0,2025-04-21,2025,4,3,retail
Greater Accra,AMA-Okaikoi South,18-08-2025,Tuesday market ,retail,white maize,12.0,2025-08-18,2025,8,3,retail
Greater Accra,AMA-Okaikoi South,18-08-2025,Tuesday market ,retail,Maize Yellow,14.19333333,2025-08-18,2025,8,3,retail
Greater Accra,AMA-Okaikoi South,18-08-2025,Tuesday market ,retail,Rice Local perfumed,20.0,2025-08-18,2025,8,3,retail
Greater Accra,AMA-Okaikoi South,18-08-2025,Tuesday market ,retail,Rice Local non perfumed,14.0,2025-08-18,2025,8,3,retail
Bono East,Kintampo North Municipal,18-08-2025,Kintampo ,retail,white maize,6.636666667,2025-08-18,2025,8,3,retail
Bono East,Kintampo North Municipal,18-08-2025,Kintampo ,retail,Maize Yellow,6.52,2025-08-18,2025,8,3,retail
Bono East,Kintampo North Municipal,18-08-2025,Kintampo ,retail,Rice Local perfumed,10.35,2025-08-18,2025,8,3,retail
Bono East,Kintampo North Municipal,18-08-2025,Kintampo ,retail,Groundnut Red,14.05666667,2025-08-18,2025,8,3,retail
Bono East,Kintampo North Municipal,18-08-2025,Kintampo ,retail,Soya Bean,8.85,2025-08-18,2025,8,3,retail
Bono East,Techiman Municipal,14-08-2025,,retail,white maize,8.053333333,2025-08-14,2025,8,2,retail
Bono East,Techiman Municipal,14-08-2025,,retail,Maize Yellow,8.676666667,2025-08-14,2025,8,2,retail
Bono East,Techiman Municipal,14-08-2025,,retail,Rice Local perfumed,12.33666667,2025-08-14,2025,8,2,retail
Bono East,Techiman Municipal,14-08-2025,,retail,Rice Local non perfumed,11.35666667,2025-08-14,2025,8,2,retail
Bono East,Techiman Municipal,14-08-2025,,retail,Groundnut Red,20.83333333,2025-08-14,2025,8,2,retail
Bono East,Techiman Municipal,14-08-2025,,retail,Soya Bean,9.26,2025-08-14,2025,8,2,retail
Bono East,Techiman Municipal,14-08-2025,,retail,Unshelled Groundnut,16.11333333,2025-08-14,2025,8,2,retail
Greater Accra,TMA-Tema East,11-08-2025,TEMA COMMUNITY ONE MAIN MARKET,retail,white maize,12.0,2025-08-11,2025,8,2,retail
Greater Accra,TMA-Tema East,11-08-2025,TEMA COMMUNITY ONE MAIN MARKET,retail,Maize Yellow,13.71666667,2025-08-11,2025,8,2,retail
Greater Accra,TMA-Tema East,11-08-2025,TEMA COMMUNITY ONE MAIN MARKET,retail,Rice Local perfumed,21.33333333,2025-08-11,2025,8,2,retail
Greater Accra,TMA-Tema East,11-08-2025,TEMA COMMUNITY ONE MAIN MARKET,retail,Groundnut Red,38.66666667,2025-08-11,2025,8,2,retail
Greater Accra,TMA-Tema East,11-08-2025,TEMA COMMUNITY ONE MAIN MARKET,retail,Soya Bean,20.0,2025-08-11,2025,8,2,retail
Ashanti,Obuasi Municipal,21-08-2025,Obuasi Central Market,retail,Groundnut Red,20.27666667,2025-08-21,2025,8,3,retail
Ashanti,Obuasi Municipal,21-08-2025,Obuasi Central Market,retail,Soya Bean,16.44666667,2025-08-21,2025,8,3,retail
Ashanti,Obuasi Municipal,21-08-2025,Obuasi Central Market,retail,white maize,12.33333333,2025-08-21,2025,8,3,retail
Ashanti,Obuasi Municipal,21-08-2025,Obuasi Central Market,retail,Maize Yellow,11.69333333,2025-08-21,2025,8,3,retail
Ashanti,Obuasi Municipal,21-08-2025,Obuasi Central Market,retail,Maize Yellow,11.69333333,2025-08-21,2025,8,3,retail
Ahafo,Asunafo North Municipal,21-08-2025,Goaso,retail,white maize,6.39,2025-08-21,2025,8,3,retail
Ahafo,Asunafo North Municipal,21-08-2025,Goaso,retail,Maize Yellow,7.733333333,2025-08-21,2025,8,3,retail
Ahafo,Asunafo North Municipal,21-08-2025,Goaso,retail,Rice Local perfumed,12.44666667,2025-08-21,2025,8,3,retail
Ahafo,Asunafo North Municipal,21-08-2025,Goaso,retail,Groundnut Red,19.89,2025-08-21,2025,8,3,retail
Ahafo,Asunafo North Municipal,21-08-2025,Goaso,retail,Unshelled Groundnut,17.71,2025-08-21,2025,8,3,retail
Central,Mfantsiman Municipal,20-08-2025,Mankessim,retail,white maize,6.316666667,2025-08-20,2025,8,3,retail
Central,Mfantsiman Municipal,20-08-2025,Mankessim,retail,Maize Yellow,7.94,2025-08-20,2025,8,3,retail
Central,Mfantsiman Municipal,20-08-2025,Mankessim,retail,Rice Local perfumed,21.92,2025-08-20,2025,8,3,retail
Central,Mfantsiman Municipal,20-08-2025,Mankessim,retail,Rice Local non perfumed,14.38666667,2025-08-20,2025,8,3,retail
Central,Mfantsiman Municipal,20-08-2025,Mankessim,retail,Groundnut Red,28.04333333,2025-08-20,2025,8,3,retail
Central,Mfantsiman Municipal,20-08-2025,Mankessim,retail,Soya Bean,19.625,2025-08-20,2025,8,3,retail
Oti,Nkwanta South Municipal,18-08-2025,NKWANTA,retail,white maize,8.086666667,2025-08-18,2025,8,3,retail
Oti,Nkwanta South Municipal,18-08-2025,NKWANTA,retail,Maize Yellow,7.946666667,2025-08-18,2025,8,3,retail
Oti,Nkwanta South Municipal,18-08-2025,NKWANTA,retail,Rice Local perfumed,14.66666667,2025-08-18,2025,8,3,retail
Oti,Nkwanta South Municipal,18-08-2025,NKWANTA,retail,Rice Local non perfumed,10.84333333,2025-08-18,2025,8,3,retail
Oti,Nkwanta South Municipal,18-08-2025,NKWANTA,retail,Soya Bean,9.62,2025-08-18,2025,8,3,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,21-08-2025,BIBIANI ,retail,white maize,7.96,2025-08-21,2025,8,3,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,21-08-2025,BIBIANI ,retail,Maize Yellow,10.30333333,2025-08-21,2025,8,3,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,21-08-2025,BIBIANI ,retail,Rice Local perfumed,15.79333333,2025-08-21,2025,8,3,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,21-08-2025,BIBIANI ,retail,Rice Local non perfumed,8.736666667,2025-08-21,2025,8,3,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,21-08-2025,BIBIANI ,retail,Groundnut Red,15.23666667,2025-08-21,2025,8,3,retail
